POP.GEO.id,POP.GEO.id2,POP.GEO.display-label,POP.HD01_VD01,POP.HD02_VD01,POP.YEAR,CTYNAME
0500000US27001,27001,"Aitkin County, Minnesota",15964,*****,2014,aitkin
0500000US27003,27003,"Anoka County, Minnesota",336316,*****,2014,anoka
0500000US27005,27005,"Becker County, Minnesota",32971,*****,2014,becker
0500000US27007,27007,"Beltrami County, Minnesota",45236,*****,2014,beltrami
0500000US27009,27009,"Benton County, Minnesota",38980,*****,2014,benton
0500000US27011,27011,"Big Stone County, Minnesota",5180,*****,2014,big stone
0500000US27013,27013,"Blue Earth County, Minnesota",64720,*****,2014,blue earth
0500000US27015,27015,"Brown County, Minnesota",25513,*****,2014,brown
0500000US27017,27017,"Carlton County, Minnesota",35430,*****,2014,carlton
0500000US27019,27019,"Carver County, Minnesota",94212,*****,2014,carver
0500000US27021,27021,"Cass County, Minnesota",28499,*****,2014,cass
0500000US27023,27023,"Chippewa County, Minnesota",12235,*****,2014,chippewa
0500000US27025,27025,"Chisago County, Minnesota",53798,*****,2014,chisago
0500000US27027,27027,"Clay County, Minnesota",60249,*****,2014,clay
0500000US27029,27029,"Clearwater County, Minnesota",8735,*****,2014,clearwater
0500000US27031,27031,"Cook County, Minnesota",5197,*****,2014,cook
0500000US27033,27033,"Cottonwood County, Minnesota",11676,*****,2014,cottonwood
0500000US27035,27035,"Crow Wing County, Minnesota",62900,*****,2014,crow wing
0500000US27037,27037,"Dakota County, Minnesota",405521,*****,2014,dakota
0500000US27039,27039,"Dodge County, Minnesota",20246,*****,2014,dodge
0500000US27041,27041,"Douglas County, Minnesota",36413,*****,2014,douglas
0500000US27043,27043,"Faribault County, Minnesota",14337,*****,2014,faribault
0500000US27045,27045,"Fillmore County, Minnesota",20842,*****,2014,fillmore
0500000US27047,27047,"Freeborn County, Minnesota",31034,*****,2014,freeborn
0500000US27049,27049,"Goodhue County, Minnesota",46336,*****,2014,goodhue
0500000US27051,27051,"Grant County, Minnesota",5977,*****,2014,grant
0500000US27053,27053,"Hennepin County, Minnesota",1184091,*****,2014,hennepin
0500000US27055,27055,"Houston County, Minnesota",18859,*****,2014,houston
0500000US27057,27057,"Hubbard County, Minnesota",20518,*****,2014,hubbard
0500000US27059,27059,"Isanti County, Minnesota",38190,*****,2014,isanti
0500000US27061,27061,"Itasca County, Minnesota",45303,*****,2014,itasca
0500000US27063,27063,"Jackson County, Minnesota",10260,*****,2014,jackson
0500000US27065,27065,"Kanabec County, Minnesota",16084,*****,2014,kanabec
0500000US27067,27067,"Kandiyohi County, Minnesota",42316,*****,2014,kandiyohi
0500000US27069,27069,"Kittson County, Minnesota",4501,*****,2014,kittson
0500000US27071,27071,"Koochiching County, Minnesota",13138,*****,2014,koochiching
0500000US27073,27073,"Lac qui Parle County, Minnesota",7096,*****,2014,lac qui parle
0500000US27075,27075,"Lake County, Minnesota",10791,*****,2014,lake
0500000US27077,27077,"Lake of the Woods County, Minnesota",3976,*****,2014,lake of the woods
0500000US27079,27079,"Le Sueur County, Minnesota",27717,*****,2014,le sueur
0500000US27081,27081,"Lincoln County, Minnesota",5821,*****,2014,lincoln
0500000US27083,27083,"Lyon County, Minnesota",25724,*****,2014,lyon
0500000US27085,27085,"McLeod County, Minnesota",36172,*****,2014,mcleod
0500000US27087,27087,"Mahnomen County, Minnesota",5486,*****,2014,mahnomen
0500000US27089,27089,"Marshall County, Minnesota",9447,*****,2014,marshall
0500000US27091,27091,"Martin County, Minnesota",20515,*****,2014,martin
0500000US27093,27093,"Meeker County, Minnesota",23147,*****,2014,meeker
0500000US27095,27095,"Mille Lacs County, Minnesota",25891,*****,2014,mille lacs
0500000US27097,27097,"Morrison County, Minnesota",33054,*****,2014,morrison
0500000US27099,27099,"Mower County, Minnesota",39312,*****,2014,mower
0500000US27101,27101,"Murray County, Minnesota",8586,*****,2014,murray
0500000US27103,27103,"Nicollet County, Minnesota",32923,*****,2014,nicollet
0500000US27105,27105,"Nobles County, Minnesota",21589,*****,2014,nobles
0500000US27107,27107,"Norman County, Minnesota",6725,*****,2014,norman
0500000US27109,27109,"Olmsted County, Minnesota",147431,*****,2014,olmsted
0500000US27111,27111,"Otter Tail County, Minnesota",57417,*****,2014,otter tail
0500000US27113,27113,"Pennington County, Minnesota",14041,*****,2014,pennington
0500000US27115,27115,"Pine County, Minnesota",29347,*****,2014,pine
0500000US27117,27117,"Pipestone County, Minnesota",9407,*****,2014,pipestone
0500000US27119,27119,"Polk County, Minnesota",31630,*****,2014,polk
0500000US27121,27121,"Pope County, Minnesota",10946,*****,2014,pope
0500000US27123,27123,"Ramsey County, Minnesota",521265,*****,2014,ramsey
0500000US27125,27125,"Red Lake County, Minnesota",4071,*****,2014,red lake
0500000US27127,27127,"Redwood County, Minnesota",15834,*****,2014,redwood
0500000US27129,27129,"Renville County, Minnesota",15326,*****,2014,renville
0500000US27131,27131,"Rice County, Minnesota",64829,*****,2014,rice
0500000US27133,27133,"Rock County, Minnesota",9587,*****,2014,rock
0500000US27135,27135,"Roseau County, Minnesota",15545,*****,2014,roseau
0500000US27137,27137,"St. Louis County, Minnesota",200563,*****,2014,st. louis
0500000US27139,27139,"Scott County, Minnesota",135129,*****,2014,scott
0500000US27141,27141,"Sherburne County, Minnesota",89770,*****,2014,sherburne
0500000US27143,27143,"Sibley County, Minnesota",15096,*****,2014,sibley
0500000US27145,27145,"Stearns County, Minnesota",151728,*****,2014,stearns
0500000US27147,27147,"Steele County, Minnesota",36472,*****,2014,steele
0500000US27149,27149,"Stevens County, Minnesota",9748,*****,2014,stevens
0500000US27151,27151,"Swift County, Minnesota",9602,*****,2014,swift
0500000US27153,27153,"Todd County, Minnesota",24588,*****,2014,todd
0500000US27155,27155,"Traverse County, Minnesota",3455,*****,2014,traverse
0500000US27157,27157,"Wabasha County, Minnesota",21485,*****,2014,wabasha
0500000US27159,27159,"Wadena County, Minnesota",13754,*****,2014,wadena
0500000US27161,27161,"Waseca County, Minnesota",19127,*****,2014,waseca
0500000US27163,27163,"Washington County, Minnesota",244103,*****,2014,washington
0500000US27165,27165,"Watonwan County, Minnesota",11151,*****,2014,watonwan
0500000US27167,27167,"Wilkin County, Minnesota",6561,*****,2014,wilkin
0500000US27169,27169,"Winona County, Minnesota",51285,*****,2014,winona
0500000US27171,27171,"Wright County, Minnesota",127386,*****,2014,wright
0500000US27173,27173,"Yellow Medicine County, Minnesota",10233,*****,2014,yellow medicine
0500000US27001,27001,"Aitkin County, Minnesota",16325,*****,2010,aitkin
0500000US27003,27003,"Anoka County, Minnesota",327544,*****,2010,anoka
0500000US27005,27005,"Becker County, Minnesota",32274,*****,2010,becker
0500000US27007,27007,"Beltrami County, Minnesota",43781,*****,2010,beltrami
0500000US27009,27009,"Benton County, Minnesota",38148,*****,2010,benton
0500000US27011,27011,"Big Stone County, Minnesota",5324,*****,2010,big stone
0500000US27013,27013,"Blue Earth County, Minnesota",62719,*****,2010,blue earth
0500000US27015,27015,"Brown County, Minnesota",26030,*****,2010,brown
0500000US27017,27017,"Carlton County, Minnesota",34958,*****,2010,carlton
0500000US27019,27019,"Carver County, Minnesota",88668,*****,2010,carver
0500000US27021,27021,"Cass County, Minnesota",28648,*****,2010,cass
0500000US27023,27023,"Chippewa County, Minnesota",12426,*****,2010,chippewa
0500000US27025,27025,"Chisago County, Minnesota",52844,*****,2010,chisago
0500000US27027,27027,"Clay County, Minnesota",57089,*****,2010,clay
0500000US27029,27029,"Clearwater County, Minnesota",8593,*****,2010,clearwater
0500000US27031,27031,"Cook County, Minnesota",5211,*****,2010,cook
0500000US27033,27033,"Cottonwood County, Minnesota",11712,*****,2010,cottonwood
0500000US27035,27035,"Crow Wing County, Minnesota",61836,*****,2010,crow wing
0500000US27037,27037,"Dakota County, Minnesota",393380,*****,2010,dakota
0500000US27039,27039,"Dodge County, Minnesota",19829,*****,2010,dodge
0500000US27041,27041,"Douglas County, Minnesota",35909,*****,2010,douglas
0500000US27043,27043,"Faribault County, Minnesota",14819,*****,2010,faribault
0500000US27045,27045,"Fillmore County, Minnesota",20978,*****,2010,fillmore
0500000US27047,27047,"Freeborn County, Minnesota",31387,*****,2010,freeborn
0500000US27049,27049,"Goodhue County, Minnesota",45930,*****,2010,goodhue
0500000US27051,27051,"Grant County, Minnesota",6082,*****,2010,grant
0500000US27053,27053,"Hennepin County, Minnesota",1136522,*****,2010,hennepin
0500000US27055,27055,"Houston County, Minnesota",19226,*****,2010,houston
0500000US27057,27057,"Hubbard County, Minnesota",20205,*****,2010,hubbard
0500000US27059,27059,"Isanti County, Minnesota",37682,*****,2010,isanti
0500000US27061,27061,"Itasca County, Minnesota",44835,*****,2010,itasca
0500000US27063,27063,"Jackson County, Minnesota",10403,*****,2010,jackson
0500000US27065,27065,"Kanabec County, Minnesota",16379,*****,2010,kanabec
0500000US27067,27067,"Kandiyohi County, Minnesota",41869,*****,2010,kandiyohi
0500000US27069,27069,"Kittson County, Minnesota",4620,*****,2010,kittson
0500000US27071,27071,"Koochiching County, Minnesota",13461,*****,2010,koochiching
0500000US27073,27073,"Lac qui Parle County, Minnesota",7343,*****,2010,lac qui parle
0500000US27075,27075,"Lake County, Minnesota",10900,*****,2010,lake
0500000US27077,27077,"Lake of the Woods County, Minnesota",4147,*****,2010,lake of the woods
0500000US27079,27079,"Le Sueur County, Minnesota",27719,*****,2010,le sueur
0500000US27081,27081,"Lincoln County, Minnesota",5935,*****,2010,lincoln
0500000US27083,27083,"Lyon County, Minnesota",25606,*****,2010,lyon
0500000US27085,27085,"McLeod County, Minnesota",36789,*****,2010,mcleod
0500000US27087,27087,"Mahnomen County, Minnesota",5359,*****,2010,mahnomen
0500000US27089,27089,"Marshall County, Minnesota",9580,*****,2010,marshall
0500000US27091,27091,"Martin County, Minnesota",20865,*****,2010,martin
0500000US27093,27093,"Meeker County, Minnesota",23371,*****,2010,meeker
0500000US27095,27095,"Mille Lacs County, Minnesota",26075,*****,2010,mille lacs
0500000US27097,27097,"Morrison County, Minnesota",33093,*****,2010,morrison
0500000US27099,27099,"Mower County, Minnesota",38855,*****,2010,mower
0500000US27101,27101,"Murray County, Minnesota",8779,*****,2010,murray
0500000US27103,27103,"Nicollet County, Minnesota",32271,*****,2010,nicollet
0500000US27105,27105,"Nobles County, Minnesota",21030,*****,2010,nobles
0500000US27107,27107,"Norman County, Minnesota",6865,*****,2010,norman
0500000US27109,27109,"Olmsted County, Minnesota",141244,*****,2010,olmsted
0500000US27111,27111,"Otter Tail County, Minnesota",57539,*****,2010,otter tail
0500000US27113,27113,"Pennington County, Minnesota",13862,*****,2010,pennington
0500000US27115,27115,"Pine County, Minnesota",29413,*****,2010,pine
0500000US27117,27117,"Pipestone County, Minnesota",9570,*****,2010,pipestone
0500000US27119,27119,"Polk County, Minnesota",31336,*****,2010,polk
0500000US27121,27121,"Pope County, Minnesota",11064,*****,2010,pope
0500000US27123,27123,"Ramsey County, Minnesota",503113,*****,2010,ramsey
0500000US27125,27125,"Red Lake County, Minnesota",4094,*****,2010,red lake
0500000US27127,27127,"Redwood County, Minnesota",16069,*****,2010,redwood
0500000US27129,27129,"Renville County, Minnesota",16007,*****,2010,renville
0500000US27131,27131,"Rice County, Minnesota",63087,*****,2010,rice
0500000US27133,27133,"Rock County, Minnesota",9606,*****,2010,rock
0500000US27135,27135,"Roseau County, Minnesota",15864,*****,2010,roseau
0500000US27137,27137,"St. Louis County, Minnesota",199472,*****,2010,st. louis
0500000US27139,27139,"Scott County, Minnesota",126139,*****,2010,scott
0500000US27141,27141,"Sherburne County, Minnesota",86823,*****,2010,sherburne
0500000US27143,27143,"Sibley County, Minnesota",15219,*****,2010,sibley
0500000US27145,27145,"Stearns County, Minnesota",147927,*****,2010,stearns
0500000US27147,27147,"Steele County, Minnesota",36434,*****,2010,steele
0500000US27149,27149,"Stevens County, Minnesota",9711,*****,2010,stevens
0500000US27151,27151,"Swift County, Minnesota",9946,*****,2010,swift
0500000US27153,27153,"Todd County, Minnesota",24804,*****,2010,todd
0500000US27155,27155,"Traverse County, Minnesota",3657,*****,2010,traverse
0500000US27157,27157,"Wabasha County, Minnesota",21743,*****,2010,wabasha
0500000US27159,27159,"Wadena County, Minnesota",13809,*****,2010,wadena
0500000US27161,27161,"Waseca County, Minnesota",19168,*****,2010,waseca
0500000US27163,27163,"Washington County, Minnesota",232536,*****,2010,washington
0500000US27165,27165,"Watonwan County, Minnesota",11212,*****,2010,watonwan
0500000US27167,27167,"Wilkin County, Minnesota",6636,*****,2010,wilkin
0500000US27169,27169,"Winona County, Minnesota",51304,*****,2010,winona
0500000US27171,27171,"Wright County, Minnesota",120764,*****,2010,wright
0500000US27173,27173,"Yellow Medicine County, Minnesota",10514,*****,2010,yellow medicine
