"","CTYNAME","POPULATION","YEAR"
"1","Anoka County, Minnesota","327005",2006
"2","Carver County, Minnesota","87545",2006
"3","Dakota County, Minnesota","388001",2006
"4","Hennepin County, Minnesota","1122093",2006
"5","Olmsted County, Minnesota","137521",2006
"6","Ramsey County, Minnesota","493215",2006
"7","St. Louis County, Minnesota","196067",2006
"8","Scott County, Minnesota","124092",2006
"9","Sherburne County, Minnesota","84995",2006
"10","Stearns County, Minnesota","144096",2006
"11","Washington County, Minnesota","225000",2006
"12","Wright County, Minnesota","114787",2006
"13","Anoka County, Minnesota","327090",2008
"14","Carver County, Minnesota","90043",2008
"15","Dakota County, Minnesota","392755",2008
"16","Hennepin County, Minnesota","1140988",2008
"17","Olmsted County, Minnesota","141360",2008
"18","Ramsey County, Minnesota","501428",2008
"19","St. Louis County, Minnesota","196864",2008
"20","Scott County, Minnesota","128937",2008
"21","Sherburne County, Minnesota","87660",2008
"22","Stearns County, Minnesota","147076",2008
"23","Washington County, Minnesota","229173",2008
"24","Wright County, Minnesota","119701",2008
"25","Aitkin County, Minnesota","16166",2012
"26","Anoka County, Minnesota","331649",2012
"27","Becker County, Minnesota","32600",2012
"28","Beltrami County, Minnesota","44652",2012
"29","Benton County, Minnesota","38560",2012
"30","Big Stone County, Minnesota","5250",2012
"31","Blue Earth County, Minnesota","63991",2012
"32","Brown County, Minnesota","25772",2012
"33","Carlton County, Minnesota","35304",2012
"34","Carver County, Minnesota","91355",2012
"35","Cass County, Minnesota","28519",2012
"36","Chippewa County, Minnesota","12327",2012
"37","Chisago County, Minnesota","53526",2012
"38","Clay County, Minnesota","58937",2012
"39","Clearwater County, Minnesota","8672",2012
"40","Cook County, Minnesota","5206",2012
"41","Cottonwood County, Minnesota","11665",2012
"42","Crow Wing County, Minnesota","62521",2012
"43","Dakota County, Minnesota","399443",2012
"44","Dodge County, Minnesota","20071",2012
"45","Douglas County, Minnesota","36167",2012
"46","Faribault County, Minnesota","14546",2012
"47","Fillmore County, Minnesota","20880",2012
"48","Freeborn County, Minnesota","31188",2012
"49","Goodhue County, Minnesota","46144",2012
"50","Grant County, Minnesota","6016",2012
"51","Hennepin County, Minnesota","1158039",2012
"52","Houston County, Minnesota","19001",2012
"53","Hubbard County, Minnesota","20372",2012
"54","Isanti County, Minnesota","38004",2012
"55","Itasca County, Minnesota","45052",2012
"56","Jackson County, Minnesota","10273",2012
"57","Kanabec County, Minnesota","16255",2012
"58","Kandiyohi County, Minnesota","42150",2012
"59","Kittson County, Minnesota","4547",2012
"60","Koochiching County, Minnesota","13293",2012
"61","Lac qui Parle County, Minnesota","7240",2012
"62","Lake County, Minnesota","10849",2012
"63","Lake of the Woods County, Minnesota","4039",2012
"64","Le Sueur County, Minnesota","27744",2012
"65","Lincoln County, Minnesota","5876",2012
"66","Lyon County, Minnesota","25714",2012
"67","McLeod County, Minnesota","36527",2012
"68","Mahnomen County, Minnesota","5442",2012
"69","Marshall County, Minnesota","9475",2012
"70","Martin County, Minnesota","20727",2012
"71","Meeker County, Minnesota","23262",2012
"72","Mille Lacs County, Minnesota","26004",2012
"73","Morrison County, Minnesota","33173",2012
"74","Mower County, Minnesota","39115",2012
"75","Murray County, Minnesota","8690",2012
"76","Nicollet County, Minnesota","32689",2012
"77","Nobles County, Minnesota","21349",2012
"78","Norman County, Minnesota","6796",2012
"79","Olmsted County, Minnesota","144507",2012
"80","Otter Tail County, Minnesota","57381",2012
"81","Pennington County, Minnesota","13950",2012
"82","Pine County, Minnesota","29564",2012
"83","Pipestone County, Minnesota","9536",2012
"84","Polk County, Minnesota","31426",2012
"85","Pope County, Minnesota","10978",2012
"86","Ramsey County, Minnesota","510885",2012
"87","Red Lake County, Minnesota","4100",2012
"88","Redwood County, Minnesota","16006",2012
"89","Renville County, Minnesota","15653",2012
"90","Rice County, Minnesota","64171",2012
"91","Rock County, Minnesota","9620",2012
"92","Roseau County, Minnesota","15665",2012
"93","St. Louis County, Minnesota","200150",2012
"94","Scott County, Minnesota","130689",2012
"95","Sherburne County, Minnesota","88558",2012
"96","Sibley County, Minnesota","15189",2012
"97","Stearns County, Minnesota","150307",2012
"98","Steele County, Minnesota","36524",2012
"99","Stevens County, Minnesota","9712",2012
"100","Swift County, Minnesota","9764",2012
"101","Todd County, Minnesota","24783",2012
"102","Traverse County, Minnesota","3549",2012
"103","Wabasha County, Minnesota","21636",2012
"104","Wadena County, Minnesota","13808",2012
"105","Waseca County, Minnesota","19089",2012
"106","Washington County, Minnesota","238721",2012
"107","Watonwan County, Minnesota","11177",2012
"108","Wilkin County, Minnesota","6584",2012
"109","Winona County, Minnesota","51481",2012
"110","Wright County, Minnesota","124737",2012
"111","Yellow Medicine County, Minnesota","10357",2012
"112","Aitkin County, Minnesota","15722",2016
"113","Anoka County, Minnesota","341249",2016
"114","Becker County, Minnesota","33375",2016
"115","Beltrami County, Minnesota","45644",2016
"116","Benton County, Minnesota","39457",2016
"117","Big Stone County, Minnesota","5098",2016
"118","Blue Earth County, Minnesota","65524",2016
"119","Brown County, Minnesota","25327",2016
"120","Carlton County, Minnesota","35482",2016
"121","Carver County, Minnesota","97143",2016
"122","Cass County, Minnesota","28633",2016
"123","Chippewa County, Minnesota","12126",2016
"124","Chisago County, Minnesota","54041",2016
"125","Clay County, Minnesota","61402",2016
"126","Clearwater County, Minnesota","8764",2016
"127","Cook County, Minnesota","5215",2016
"128","Cottonwood County, Minnesota","11557",2016
"129","Crow Wing County, Minnesota","63321",2016
"130","Dakota County, Minnesota","411402",2016
"131","Dodge County, Minnesota","20361",2016
"132","Douglas County, Minnesota","36862",2016
"133","Faribault County, Minnesota","14119",2016
"134","Fillmore County, Minnesota","20877",2016
"135","Freeborn County, Minnesota","30751",2016
"136","Goodhue County, Minnesota","46450",2016
"137","Grant County, Minnesota","5943",2016
"138","Hennepin County, Minnesota","1209265",2016
"139","Houston County, Minnesota","18791",2016
"140","Hubbard County, Minnesota","20640",2016
"141","Isanti County, Minnesota","38461",2016
"142","Itasca County, Minnesota","45356",2016
"143","Jackson County, Minnesota","10163",2016
"144","Kanabec County, Minnesota","15918",2016
"145","Kandiyohi County, Minnesota","42510",2016
"146","Kittson County, Minnesota","4436",2016
"147","Koochiching County, Minnesota","12930",2016
"148","Lac qui Parle County, Minnesota","6916",2016
"149","Lake County, Minnesota","10721",2016
"150","Lake of the Woods County, Minnesota","3901",2016
"151","Le Sueur County, Minnesota","27650",2016
"152","Lincoln County, Minnesota","5793",2016
"153","Lyon County, Minnesota","25670",2016
"154","McLeod County, Minnesota","35926",2016
"155","Mahnomen County, Minnesota","5480",2016
"156","Marshall County, Minnesota","9406",2016
"157","Martin County, Minnesota","20193",2016
"158","Meeker County, Minnesota","23094",2016
"159","Mille Lacs County, Minnesota","25788",2016
"160","Morrison County, Minnesota","32850",2016
"161","Mower County, Minnesota","39248",2016
"162","Murray County, Minnesota","8463",2016
"163","Nicollet County, Minnesota","33226",2016
"164","Nobles County, Minnesota","21729",2016
"165","Norman County, Minnesota","6638",2016
"166","Olmsted County, Minnesota","150104",2016
"167","Otter Tail County, Minnesota","57694",2016
"168","Pennington County, Minnesota","14156",2016
"169","Pine County, Minnesota","29067",2016
"170","Pipestone County, Minnesota","9285",2016
"171","Polk County, Minnesota","31550",2016
"172","Pope County, Minnesota","10975",2016
"173","Ramsey County, Minnesota","531528",2016
"174","Red Lake County, Minnesota","4042",2016
"175","Redwood County, Minnesota","15578",2016
"176","Renville County, Minnesota","14995",2016
"177","Rice County, Minnesota","65116",2016
"178","Rock County, Minnesota","9554",2016
"179","Roseau County, Minnesota","15609",2016
"180","St. Louis County, Minnesota","200353",2016
"181","Scott County, Minnesota","139490",2016
"182","Sherburne County, Minnesota","91188",2016
"183","Sibley County, Minnesota","14957",2016
"184","Stearns County, Minnesota","153661",2016
"185","Steele County, Minnesota","36541",2016
"186","Stevens County, Minnesota","9762",2016
"187","Swift County, Minnesota","9483",2016
"188","Todd County, Minnesota","24335",2016
"189","Traverse County, Minnesota","3397",2016
"190","Wabasha County, Minnesota","21327",2016
"191","Wadena County, Minnesota","13755",2016
"192","Waseca County, Minnesota","19034",2016
"193","Washington County, Minnesota","248745",2016
"194","Watonwan County, Minnesota","10996",2016
"195","Wilkin County, Minnesota","6479",2016
"196","Winona County, Minnesota","51145",2016
"197","Wright County, Minnesota","129922",2016
"198","Yellow Medicine County, Minnesota","10038",2016
"199","Anoka County, Minnesota","351373",2017
"200","Blue Earth County, Minnesota","66973",2017
"201","Carver County, Minnesota","102119",2017
"202","Dakota County, Minnesota","421751",2017
"203","Hennepin County, Minnesota","1252024",2017
"204","Olmsted County, Minnesota","154930",2017
"205","Ramsey County, Minnesota","547974",2017
"206","Rice County, Minnesota","65968",2017
"207","St. Louis County, Minnesota","200000",2017
"208","Scott County, Minnesota","145827",2017
"209","Sherburne County, Minnesota","94570",2017
"210","Stearns County, Minnesota","157822",2017
"211","Washington County, Minnesota","256348",2017
"212","Wright County, Minnesota","134286",2017
