"","CTYNAME","YEAR","TOTALMALE","TOTALFEMALE","AGE2024_TOTAL","AGE2024_MALE","AGE2024_FEMALE","AGE2529_TOTAL","AGE2529_MALE","AGE2529_FEMALE","AGE18ABOVE"
"186","Stevens County, Minnesota",2012,"4804","4908","12.6","13.5","11.7","5.7","6.0","5.3","79.1"
"187","Swift County, Minnesota",2012,"5024","4740","4.8","5.5","4.1","4.9","5.3","4.5","78.5"
"188","Todd County, Minnesota",2012,"12641","12142","5.0","5.2","4.8","5.1","5.1","5.2","75.2"
"189","Traverse County, Minnesota",2012,"1800","1749","3.4","4.1","2.7","5.3","6.1","4.6","78.8"
"190","Wabasha County, Minnesota",2012,"10820","10816","4.8","4.9","4.7","5.3","5.4","5.2","76.6"
"191","Wadena County, Minnesota",2012,"6787","7021","4.8","5.3","4.3","5.2","5.0","5.5","76.0"
"192","Waseca County, Minnesota",2012,"9158","9931","5.1","5.4","4.8","6.6","6.0","7.1","76.4"
"193","Washington County, Minnesota",2012,"118190","120531","5.0","5.2","4.8","6.0","6.2","5.9","73.5"
"194","Watonwan County, Minnesota",2012,"5627","5550","4.6","5.5","3.7","6.1","5.7","6.5","75.0"
"195","Wilkin County, Minnesota",2012,"3329","3255","4.5","4.6","4.3","4.9","4.8","4.9","75.7"
"196","Winona County, Minnesota",2012,"25264","26217","14.6","14.0","15.2","6.0","6.4","5.6","80.8"
"197","Wright County, Minnesota",2012,"62838","61899","4.5","4.4","4.5","6.4","6.4","6.5","70.2"
"198","Yellow Medicine County, Minnesota",2012,"5288","5069","5.1","5.6","4.5","5.3","5.6","5.0","76.7"
"199","Aitkin County, Minnesota",2014,"8103","7861","3.4","3.6","3.3","3.8","3.5","4.0","82.4"
"200","Anoka County, Minnesota",2014,"168202","168114","5.8","5.9","5.6","6.4","6.5","6.3","74.9"
"201","Becker County, Minnesota",2014,"16556","16415","4.8","4.9","4.8","5.2","5.2","5.2","75.4"
"202","Beltrami County, Minnesota",2014,"22654","22582","10.3","10.6","10.0","6.3","6.5","6.1","74.8"
"203","Benton County, Minnesota",2014,"19473","19507","7.0","7.1","6.9","8.3","8.5","8.2","75.3"
"204","Big Stone County, Minnesota",2014,"2529","2651","4.4","4.4","4.5","4.2","4.1","4.4","79.4"
"205","Blue Earth County, Minnesota",2014,"32581","32139","15.9","16.6","15.2","8.2","9.2","7.3","80.5"
"206","Brown County, Minnesota",2014,"12648","12865","6.6","6.9","6.3","5.3","5.4","5.2","78.3"
"207","Carlton County, Minnesota",2014,"18283","17147","5.4","5.9","4.8","5.7","6.0","5.4","76.6"
"208","Carver County, Minnesota",2014,"46728","47484","4.6","4.8","4.4","5.2","5.1","5.3","71.2"
"209","Cass County, Minnesota",2014,"14542","13957","4.5","4.6","4.3","4.5","4.4","4.5","78.7"
"210","Chippewa County, Minnesota",2014,"6055","6180","5.3","5.3","5.3","6.0","7.0","4.9","77.1"
"211","Chisago County, Minnesota",2014,"27799","25999","5.3","6.1","4.5","5.4","5.8","4.9","75.5"
"212","Clay County, Minnesota",2014,"29807","30442","11.6","11.3","11.8","7.0","7.5","6.5","76.9"
"213","Clearwater County, Minnesota",2014,"4424","4311","4.6","5.2","4.1","5.1","5.0","5.2","75.3"
"214","Cook County, Minnesota",2014,"2598","2599","4.7","5.2","4.2","4.8","4.2","5.4","84.1"
"215","Cottonwood County, Minnesota",2014,"5645","6031","5.4","4.8","6.1","4.5","5.3","3.7","76.4"
"216","Crow Wing County, Minnesota",2014,"31463","31437","5.3","5.2","5.4","5.4","5.4","5.4","77.4"
"217","Dakota County, Minnesota",2014,"199214","206307","5.5","5.7","5.4","6.6","6.7","6.5","74.4"
"218","Dodge County, Minnesota",2014,"10116","10130","5.1","5.4","4.8","5.3","5.3","5.4","72.1"
"219","Douglas County, Minnesota",2014,"18199","18214","5.6","6.2","5.0","5.7","5.8","5.6","78.6"
"220","Faribault County, Minnesota",2014,"7192","7145","4.5","5.1","3.9","5.0","5.3","4.8","78.6"
"221","Fillmore County, Minnesota",2014,"10394","10448","4.9","5.1","4.7","4.9","5.1","4.8","76.0"
"222","Freeborn County, Minnesota",2014,"15346","15688","5.4","5.4","5.4","5.2","5.6","4.9","78.1"
"223","Goodhue County, Minnesota",2014,"23190","23146","5.1","5.2","5.0","5.4","5.4","5.3","76.8"
"224","Grant County, Minnesota",2014,"2992","2985","4.5","4.7","4.4","4.8","4.9","4.8","78.7"
"225","Hennepin County, Minnesota",2014,"582534","601557","6.8","6.9","6.8","8.8","8.9","8.7","77.6"
"226","Houston County, Minnesota",2014,"9421","9438","4.8","5.2","4.4","4.9","5.3","4.6","78.1"
"227","Hubbard County, Minnesota",2014,"10286","10232","3.9","4.0","3.7","4.3","4.7","4.0","78.6"
"228","Isanti County, Minnesota",2014,"19245","18945","5.4","5.6","5.1","6.2","6.1","6.2","74.8"
"229","Itasca County, Minnesota",2014,"22904","22399","4.9","5.2","4.5","4.8","4.8","4.8","78.5"
"230","Jackson County, Minnesota",2014,"5184","5076","5.0","5.2","4.7","5.4","5.9","4.9","77.6"
"231","Kanabec County, Minnesota",2014,"8164","7920","4.9","5.2","4.6","5.1","5.2","5.1","77.3"
"232","Kandiyohi County, Minnesota",2014,"21353","20963","7.0","7.4","6.6","5.8","6.1","5.5","76.3"
"233","Kittson County, Minnesota",2014,"2245","2256","4.2","4.4","3.9","3.6","4.0","3.2","77.9"
"234","Koochiching County, Minnesota",2014,"6577","6561","4.3","4.4","4.2","4.7","5.0","4.4","79.9"
"235","Lac qui Parle County, Minnesota",2014,"3562","3534","3.6","4.1","3.2","4.2","4.6","3.7","79.1"
"236","Lake County, Minnesota",2014,"5468","5323","4.2","4.0","4.4","5.2","5.5","5.0","81.5"
"237","Lake of the Woods County, Minnesota",2014,"2057","1919","4.1","4.6","3.5","2.5","2.3","2.8","80.3"
"238","Le Sueur County, Minnesota",2014,"14045","13672","5.0","5.0","5.0","5.5","5.6","5.4","75.3"
"239","Lincoln County, Minnesota",2014,"2932","2889","4.2","4.5","3.8","4.5","4.4","4.6","77.9"
"240","Lyon County, Minnesota",2014,"12811","12913","8.9","9.3","8.5","6.8","7.3","6.3","75.6"
"241","McLeod County, Minnesota",2014,"17949","18223","5.3","5.5","5.1","5.8","6.0","5.6","75.5"
"242","Mahnomen County, Minnesota",2014,"2771","2715","6.0","5.4","6.6","5.0","5.0","5.0","69.7"
"243","Marshall County, Minnesota",2014,"4805","4642","4.4","4.9","4.0","5.2","5.0","5.4","76.9"
"244","Martin County, Minnesota",2014,"10116","10399","4.5","4.7","4.4","5.0","5.1","4.9","78.2"
"245","Meeker County, Minnesota",2014,"11752","11395","4.7","5.0","4.4","5.2","5.2","5.2","75.1"
"246","Mille Lacs County, Minnesota",2014,"12989","12902","5.1","5.2","5.0","5.8","5.5","6.0","75.2"
"247","Morrison County, Minnesota",2014,"16714","16340","5.1","5.1","5.0","5.5","5.6","5.4","76.0"
"248","Mower County, Minnesota",2014,"19654","19658","6.0","6.7","5.2","5.4","5.2","5.5","74.9"
"249","Murray County, Minnesota",2014,"4255","4331","3.9","4.3","3.5","4.4","4.6","4.2","78.5"
"250","Nicollet County, Minnesota",2014,"16454","16469","9.0","9.3","8.7","7.4","7.9","6.9","77.7"
"251","Nobles County, Minnesota",2014,"11031","10558","5.9","5.8","6.0","6.3","6.9","5.6","74.0"
"252","Norman County, Minnesota",2014,"3357","3368","4.2","4.4","4.0","4.1","4.2","4.0","76.8"
"253","Olmsted County, Minnesota",2014,"72094","75337","5.4","5.3","5.5","7.6","7.7","7.5","75.1"
"254","Otter Tail County, Minnesota",2014,"28772","28645","4.7","4.9","4.6","4.7","4.7","4.6","78.6"
"255","Pennington County, Minnesota",2014,"6974","7067","6.4","6.8","6.0","6.9","7.6","6.2","76.5"
"256","Pine County, Minnesota",2014,"15719","13628","5.0","5.2","4.7","5.7","6.0","5.3","78.7"
"257","Pipestone County, Minnesota",2014,"4614","4793","4.8","4.5","5.0","5.1","5.6","4.5","75.4"
"258","Polk County, Minnesota",2014,"16000","15630","6.9","7.4","6.4","6.2","6.8","5.5","76.5"
"259","Pope County, Minnesota",2014,"5570","5376","4.4","4.4","4.3","5.3","5.7","4.9","78.6"
"260","Ramsey County, Minnesota",2014,"253159","268106","8.2","8.3","8.2","8.6","8.6","8.5","76.7"
"261","Red Lake County, Minnesota",2014,"2080","1991","4.1","4.3","3.9","5.1","5.3","4.9","75.4"
"262","Redwood County, Minnesota",2014,"7951","7883","4.5","4.6","4.3","5.0","5.3","4.6","75.6"
"263","Renville County, Minnesota",2014,"7754","7572","5.0","5.1","4.8","4.7","4.9","4.6","77.5"
"264","Rice County, Minnesota",2014,"32934","31895","9.9","10.7","9.1","5.4","5.9","4.9","77.2"
"265","Rock County, Minnesota",2014,"4664","4923","4.1","4.2","3.9","4.6","5.0","4.3","74.9"
"266","Roseau County, Minnesota",2014,"7925","7620","4.6","4.7","4.6","4.6","4.8","4.4","74.6"
"267","St. Louis County, Minnesota",2014,"100738","99825","9.0","9.4","8.6","6.0","6.2","5.7","80.6"
"268","Scott County, Minnesota",2014,"67314","67815","4.7","4.9","4.5","5.8","5.6","6.0","70.6"
"269","Sherburne County, Minnesota",2014,"45962","43808","5.8","6.3","5.4","6.4","6.7","6.1","71.9"
"270","Sibley County, Minnesota",2014,"7598","7498","4.9","5.0","4.8","5.2","5.4","4.9","75.0"
"271","Stearns County, Minnesota",2014,"76411","75317","10.9","11.3","10.5","6.5","6.8","6.2","77.1"
"272","Steele County, Minnesota",2014,"17940","18532","5.4","5.9","4.9","5.9","6.1","5.7","74.2"
"273","Stevens County, Minnesota",2014,"4844","4904","13.3","14.2","12.4","5.5","6.0","5.0","78.8"
"274","Swift County, Minnesota",2014,"4853","4749","5.3","5.5","5.0","4.8","5.3","4.4","78.7"
"275","Todd County, Minnesota",2014,"12622","11966","5.1","5.3","4.9","4.9","4.9","4.8","75.6"
"276","Traverse County, Minnesota",2014,"1725","1730","4.1","4.7","3.6","3.7","4.2","3.3","78.8"
"277","Wabasha County, Minnesota",2014,"10807","10678","4.7","4.8","4.6","5.2","4.9","5.4","77.3"
"278","Wadena County, Minnesota",2014,"6837","6917","5.0","5.6","4.4","4.8","4.8","4.9","75.9"
"279","Waseca County, Minnesota",2014,"9037","10090","5.0","5.1","4.9","6.5","5.6","7.4","76.1"
"280","Washington County, Minnesota",2014,"120650","123453","5.2","5.5","4.9","5.8","5.9","5.7","74.2"
"281","Watonwan County, Minnesota",2014,"5621","5530","5.4","6.1","4.7","5.3","5.4","5.2","75.3"
"282","Wilkin County, Minnesota",2014,"3328","3233","4.4","4.5","4.4","4.6","4.7","4.5","76.4"
"283","Winona County, Minnesota",2014,"25128","26157","14.4","14.2","14.7","6.0","6.2","5.7","81.4"
"284","Wright County, Minnesota",2014,"64133","63253","4.6","4.6","4.6","6.0","6.0","6.0","70.7"
"285","Yellow Medicine County, Minnesota",2014,"5228","5005","5.0","5.4","4.6","5.6","6.1","5.0","76.5"
"286","Aitkin County, Minnesota",2016,"8016","7706","3.6","3.6","3.6","3.5","3.5","3.5","82.8"
"287","Anoka County, Minnesota",2016,"170762","170487","5.9","6.0","5.7","6.3","6.4","6.1","75.5"
"288","Becker County, Minnesota",2016,"16693","16682","5.0","5.0","5.1","5.1","5.0","5.3","75.4"
"289","Beltrami County, Minnesota",2016,"22773","22871","10.2","10.5","9.9","6.2","6.6","5.9","74.7"
"290","Benton County, Minnesota",2016,"19736","19721","6.0","6.1","6.0","7.8","7.8","7.8","75.4"
"291","Big Stone County, Minnesota",2016,"2494","2604","5.0","4.8","5.2","3.9","4.0","3.7","79.3"
"292","Blue Earth County, Minnesota",2016,"32979","32545","16.6","17.0","16.2","7.2","7.9","6.4","80.4"
"293","Brown County, Minnesota",2016,"12563","12764","6.7","6.8","6.5","5.2","5.4","5.0","78.3"
"294","Carlton County, Minnesota",2016,"18491","16991","5.6","6.2","4.8","5.5","5.5","5.4","77.2"
"295","Carver County, Minnesota",2016,"48209","48934","5.1","5.1","5.2","4.8","4.7","4.9","72.1"
"296","Cass County, Minnesota",2016,"14588","14045","4.7","4.6","4.7","4.2","4.2","4.3","78.7"
"297","Chippewa County, Minnesota",2016,"6006","6120","5.4","5.3","5.5","5.6","6.6","4.7","77.0"
"298","Chisago County, Minnesota",2016,"27920","26121","5.5","5.9","5.0","5.4","6.0","4.7","76.4"
"299","Clay County, Minnesota",2016,"30311","31091","11.4","11.2","11.6","7.0","7.6","6.4","76.6"
"300","Clearwater County, Minnesota",2016,"4440","4324","4.9","5.1","4.8","4.8","5.0","4.6","75.3"
"301","Cook County, Minnesota",2016,"2606","2609","5.1","5.4","4.8","4.6","4.0","5.2","84.2"
"302","Cottonwood County, Minnesota",2016,"5669","5888","5.5","5.2","5.8","4.7","5.0","4.4","76.2"
"303","Crow Wing County, Minnesota",2016,"31646","31675","5.4","5.4","5.3","5.2","5.2","5.3","77.8"
"304","Dakota County, Minnesota",2016,"202188","209214","5.8","6.0","5.6","6.3","6.4","6.2","75.0"
"305","Dodge County, Minnesota",2016,"10198","10163","5.3","5.4","5.3","5.2","5.2","5.1","72.4"
"306","Douglas County, Minnesota",2016,"18388","18474","5.7","6.2","5.1","5.6","5.9","5.3","78.8"
"307","Faribault County, Minnesota",2016,"7060","7059","4.6","4.9","4.3","4.9","5.0","4.9","78.3"
"308","Fillmore County, Minnesota",2016,"10470","10407","5.0","5.3","4.8","4.6","4.8","4.4","76.0"
"309","Freeborn County, Minnesota",2016,"15350","15401","5.3","5.2","5.4","5.3","5.6","5.0","78.1"
"310","Goodhue County, Minnesota",2016,"23180","23270","5.3","5.6","5.0","5.2","5.3","5.1","77.2"
"311","Grant County, Minnesota",2016,"2972","2971","4.7","4.7","4.6","4.3","4.5","4.2","78.1"
"312","Hennepin County, Minnesota",2016,"596243","613022","6.6","6.7","6.5","8.7","8.9","8.6","77.7"
"313","Houston County, Minnesota",2016,"9390","9401","5.1","5.3","4.9","4.7","5.1","4.2","78.5"
"314","Hubbard County, Minnesota",2016,"10302","10338","4.0","4.1","3.8","4.0","4.3","3.6","78.3"
"315","Isanti County, Minnesota",2016,"19431","19030","5.4","5.4","5.3","6.0","6.1","5.9","75.4"
"316","Itasca County, Minnesota",2016,"22906","22450","4.9","5.3","4.6","4.6","4.8","4.4","78.7"
"317","Jackson County, Minnesota",2016,"5130","5033","5.4","5.4","5.5","5.4","6.0","4.8","77.7"
"318","Kanabec County, Minnesota",2016,"8062","7856","5.3","5.7","4.9","4.7","4.8","4.6","78.0"
"319","Kandiyohi County, Minnesota",2016,"21312","21198","7.0","7.0","7.0","5.9","6.3","5.6","76.1"
"320","Kittson County, Minnesota",2016,"2243","2193","5.0","5.3","4.7","3.7","4.1","3.3","78.4"
"321","Koochiching County, Minnesota",2016,"6461","6469","5.0","5.6","4.5","4.5","4.6","4.4","80.6"
"322","Lac qui Parle County, Minnesota",2016,"3453","3463","4.6","4.6","4.6","3.6","4.0","3.2","79.9"
"323","Lake County, Minnesota",2016,"5481","5240","4.1","3.9","4.2","4.8","5.3","4.3","81.7"
"324","Lake of the Woods County, Minnesota",2016,"2030","1871","6.0","7.0","4.9","3.1","3.1","3.0","81.5"
"325","Le Sueur County, Minnesota",2016,"14005","13645","5.4","5.2","5.5","5.1","5.1","5.1","75.6"
"326","Lincoln County, Minnesota",2016,"2914","2879","4.3","4.5","4.1","4.5","4.5","4.4","77.5"
"327","Lyon County, Minnesota",2016,"12840","12830","7.7","7.9","7.5","6.9","7.3","6.5","75.3"
"328","McLeod County, Minnesota",2016,"17807","18119","5.4","5.6","5.2","5.7","6.0","5.4","76.2"
"329","Mahnomen County, Minnesota",2016,"2765","2715","5.6","5.3","5.9","4.9","4.4","5.3","69.2"
"330","Marshall County, Minnesota",2016,"4793","4613","5.0","5.6","4.4","5.0","4.8","5.2","76.9"
"331","Martin County, Minnesota",2016,"9989","10204","5.2","5.1","5.2","4.9","5.0","4.8","78.2"
"332","Meeker County, Minnesota",2016,"11734","11360","4.9","5.1","4.7","4.8","4.8","4.7","75.4"
"333","Mille Lacs County, Minnesota",2016,"12944","12844","5.0","5.0","5.0","5.6","5.5","5.7","75.8"
"334","Morrison County, Minnesota",2016,"16617","16233","5.2","5.2","5.3","5.3","5.4","5.2","76.4"
"335","Mower County, Minnesota",2016,"19689","19559","6.4","7.1","5.7","5.5","5.5","5.5","75.1"
"336","Murray County, Minnesota",2016,"4197","4266","4.5","5.1","4.0","4.2","4.4","4.0","78.9"
"337","Nicollet County, Minnesota",2016,"16586","16640","8.1","7.5","8.7","7.0","7.7","6.2","77.8"
"338","Nobles County, Minnesota",2016,"11130","10599","6.0","6.1","6.0","6.5","7.4","5.6","73.4"
"339","Norman County, Minnesota",2016,"3332","3306","5.0","4.7","5.4","4.3","4.7","3.8","77.0"
"340","Olmsted County, Minnesota",2016,"73514","76590","5.7","5.5","5.8","7.0","7.1","6.9","75.2"
"341","Otter Tail County, Minnesota",2016,"28994","28700","5.0","5.3","4.7","4.5","4.7","4.2","78.5"
"342","Pennington County, Minnesota",2016,"7121","7035","6.1","6.5","5.7","7.1","7.8","6.3","76.9"
"343","Pine County, Minnesota",2016,"15548","13519","5.0","5.1","4.8","5.6","6.1","4.9","79.3"
"344","Pipestone County, Minnesota",2016,"4533","4752","5.0","4.8","5.2","4.8","5.0","4.5","75.4"
"345","Polk County, Minnesota",2016,"15931","15619","7.1","7.7","6.5","6.0","6.6","5.5","76.5"
"346","Pope County, Minnesota",2016,"5543","5432","4.6","4.7","4.5","5.0","5.1","4.9","78.8"
"347","Ramsey County, Minnesota",2016,"258733","272795","7.8","8.0","7.7","8.7","8.8","8.6","76.6"
"348","Red Lake County, Minnesota",2016,"2056","1986","4.6","4.6","4.5","4.6","4.7","4.4","75.4"
"349","Redwood County, Minnesota",2016,"7830","7748","4.9","5.2","4.5","4.6","4.6","4.5","75.6"
"350","Renville County, Minnesota",2016,"7603","7392","5.0","5.3","4.6","4.6","4.8","4.4","77.6"
"351","Rice County, Minnesota",2016,"33132","31984","9.7","9.7","9.8","5.4","5.9","4.7","77.8"
"352","Rock County, Minnesota",2016,"4668","4886","4.8","5.0","4.5","4.6","5.0","4.3","74.8"
"353","Roseau County, Minnesota",2016,"7999","7610","5.4","5.1","5.6","4.6","4.9","4.4","75.1"
"354","St. Louis County, Minnesota",2016,"100702","99651","9.2","9.4","8.9","5.8","6.3","5.4","80.8"
"355","Scott County, Minnesota",2016,"69528","69962","5.1","5.1","5.1","5.5","5.4","5.5","71.2"
"356","Sherburne County, Minnesota",2016,"46610","44578","6.0","6.7","5.3","6.2","6.3","6.1","72.6"
"357","Sibley County, Minnesota",2016,"7555","7402","4.9","5.0","4.8","5.0","5.3","4.7","75.6"
"358","Stearns County, Minnesota",2016,"77355","76306","11.0","11.4","10.6","6.3","6.7","5.8","77.1"
"359","Steele County, Minnesota",2016,"18073","18468","5.5","6.2","4.8","5.4","5.4","5.5","74.5"
"360","Stevens County, Minnesota",2016,"4884","4878","13.9","15.3","12.6","5.5","6.1","4.9","79.0"
"361","Swift County, Minnesota",2016,"4775","4708","5.2","5.4","4.9","4.7","5.0","4.4","77.8"
"362","Todd County, Minnesota",2016,"12419","11916","5.4","5.7","5.1","4.7","4.9","4.5","76.0"
"363","Traverse County, Minnesota",2016,"1635","1762","4.9","5.5","4.3","4.2","4.3","4.1","79.5"
"364","Wabasha County, Minnesota",2016,"10627","10700","5.0","5.1","4.9","5.2","4.9","5.4","77.6"
"365","Wadena County, Minnesota",2016,"6809","6946","5.2","5.7","4.8","4.9","4.9","4.8","75.6"
"366","Waseca County, Minnesota",2016,"8996","10038","5.6","5.1","6.1","6.6","6.8","6.4","76.7"
"367","Washington County, Minnesota",2016,"123093","125652","5.5","5.9","5.1","5.5","5.7","5.4","74.8"
"368","Watonwan County, Minnesota",2016,"5414","5582","5.8","6.9","4.7","5.3","5.6","5.0","75.7"
"369","Wilkin County, Minnesota",2016,"3258","3221","3.3","4.8","1.8","6.0","4.5","7.5","76.9"
"370","Winona County, Minnesota",2016,"25238","25907","14.3","14.3","14.4","6.0","6.1","5.9","81.6"
"371","Wright County, Minnesota",2016,"65372","64550","4.9","5.0","4.8","5.7","5.5","5.8","71.2"
"372","Yellow Medicine County, Minnesota",2016,"5115","4923","5.1","5.4","4.8","5.2","5.6","4.8","76.8"
