"","CTYNAME","Citizen: Total","Citizen: US Born","Citizen: Puerto Rico/US Islands Born","Citizen: Born Abroad","Citizen: Naturalization","Not Citizen","YEAR"
"1","Aitkin County, Minnesota","15964","15736","10","62","105","51",2014
"2","Anoka County, Minnesota","336316","310812","247","2025","13205","10027",2014
"3","Becker County, Minnesota","32971","32316","2","82","234","337",2014
"4","Beltrami County, Minnesota","45236","44020","0","336","469","411",2014
"5","Benton County, Minnesota","38980","38061","0","65","465","389",2014
"6","Big Stone County, Minnesota","5180","5110","1","23","35","11",2014
"7","Blue Earth County, Minnesota","64720","61721","14","417","1278","1290",2014
"8","Brown County, Minnesota","25513","25035","3","118","183","174",2014
"9","Carlton County, Minnesota","35430","34941","14","128","227","120",2014
"10","Carver County, Minnesota","94212","88535","2","433","2706","2536",2014
"11","Cass County, Minnesota","28499","28155","3","83","171","87",2014
"12","Chippewa County, Minnesota","12235","11711","16","32","104","372",2014
"13","Chisago County, Minnesota","53798","52656","17","259","448","418",2014
"14","Clay County, Minnesota","60249","57926","17","356","1000","950",2014
"15","Clearwater County, Minnesota","8735","8595","6","53","47","34",2014
"16","Cook County, Minnesota","5197","4894","9","62","68","164",2014
"17","Cottonwood County, Minnesota","11676","11165","0","46","246","219",2014
"18","Crow Wing County, Minnesota","62900","61652","13","212","527","496",2014
"19","Dakota County, Minnesota","405521","367037","796","2868","18853","15967",2014
"20","Dodge County, Minnesota","20246","19773","45","44","124","260",2014
"21","Douglas County, Minnesota","36413","35836","21","179","198","179",2014
"22","Faribault County, Minnesota","14337","14022","2","60","123","130",2014
"23","Fillmore County, Minnesota","20842","20513","1","105","116","107",2014
"24","Freeborn County, Minnesota","31034","29944","4","89","347","650",2014
"25","Goodhue County, Minnesota","46336","45097","4","131","409","695",2014
"26","Grant County, Minnesota","5977","5889","0","17","51","20",2014
"27","Hennepin County, Minnesota","1184091","1019021","960","9106","71113","83891",2014
"28","Houston County, Minnesota","18859","18567","17","72","117","86",2014
"29","Hubbard County, Minnesota","20518","20159","3","81","153","122",2014
"30","Isanti County, Minnesota","38190","37528","3","151","317","191",2014
"31","Itasca County, Minnesota","45303","44658","26","191","265","163",2014
"32","Jackson County, Minnesota","10260","9997","10","44","81","128",2014
"33","Kanabec County, Minnesota","16084","15925","0","36","64","59",2014
"34","Kandiyohi County, Minnesota","42316","39732","8","126","948","1502",2014
"35","Kittson County, Minnesota","4501","4401","0","15","70","15",2014
"36","Koochiching County, Minnesota","13138","12240","0","253","339","306",2014
"37","Lac qui Parle County, Minnesota","7096","6942","0","13","87","54",2014
"38","Lake County, Minnesota","10791","10564","0","42","89","96",2014
"39","Lake of the Woods County, Minnesota","3976","3832","0","55","45","44",2014
"40","Le Sueur County, Minnesota","27717","26941","5","95","227","449",2014
"41","Lincoln County, Minnesota","5821","5755","6","6","36","18",2014
"42","Lyon County, Minnesota","25724","24252","0","39","394","1039",2014
"43","McLeod County, Minnesota","36172","34778","1","161","484","748",2014
"44","Mahnomen County, Minnesota","5486","5452","1","5","18","10",2014
"45","Marshall County, Minnesota","9447","9266","2","30","56","93",2014
"46","Martin County, Minnesota","20515","20044","0","49","108","314",2014
"47","Meeker County, Minnesota","23147","22555","1","47","147","397",2014
"48","Mille Lacs County, Minnesota","25891","25453","2","160","208","68",2014
"49","Morrison County, Minnesota","33054","32664","3","71","151","165",2014
"50","Mower County, Minnesota","39312","36307","13","190","950","1852",2014
"51","Murray County, Minnesota","8586","8359","8","25","52","142",2014
"52","Nicollet County, Minnesota","32923","31676","0","193","427","627",2014
"53","Nobles County, Minnesota","21589","17368","7","147","1054","3013",2014
"54","Norman County, Minnesota","6725","6605","3","30","54","33",2014
"55","Olmsted County, Minnesota","147431","131424","297","1147","7235","7328",2014
"56","Otter Tail County, Minnesota","57417","55663","56","308","456","934",2014
"57","Pennington County, Minnesota","14041","13624","27","54","148","188",2014
"58","Pine County, Minnesota","29347","28582","60","123","324","258",2014
"59","Pipestone County, Minnesota","9407","9101","7","23","122","154",2014
"60","Polk County, Minnesota","31630","30609","80","151","300","490",2014
"61","Pope County, Minnesota","10946","10807","17","38","71","13",2014
"62","Ramsey County, Minnesota","521265","441062","654","3515","35712","40322",2014
"63","Red Lake County, Minnesota","4071","4006","0","13","19","33",2014
"64","Redwood County, Minnesota","15834","15372","41","39","151","231",2014
"65","Renville County, Minnesota","15326","14898","4","23","162","239",2014
"66","Rice County, Minnesota","64829","60019","78","322","1295","3115",2014
"67","Rock County, Minnesota","9587","9392","1","8","63","123",2014
"68","Roseau County, Minnesota","15545","15019","0","55","252","219",2014
"69","St. Louis County, Minnesota","200563","195338","118","898","2556","1653",2014
"70","Scott County, Minnesota","135129","122542","74","817","6051","5645",2014
"71","Sherburne County, Minnesota","89770","87128","14","277","1097","1254",2014
"72","Sibley County, Minnesota","15096","14435","0","22","237","402",2014
"73","Stearns County, Minnesota","151728","143755","92","524","3080","4277",2014
"74","Steele County, Minnesota","36472","34595","0","446","790","641",2014
"75","Stevens County, Minnesota","9748","9320","1","75","145","207",2014
"76","Swift County, Minnesota","9602","9375","15","22","48","142",2014
"77","Todd County, Minnesota","24588","23624","3","104","283","574",2014
"78","Traverse County, Minnesota","3455","3398","0","9","31","17",2014
"79","Wabasha County, Minnesota","21485","21066","28","84","111","196",2014
"80","Wadena County, Minnesota","13754","13468","0","120","114","52",2014
"81","Waseca County, Minnesota","19127","18220","10","130","222","545",2014
"82","Washington County, Minnesota","244103","227827","71","1286","9633","5286",2014
"83","Watonwan County, Minnesota","11151","9803","0","139","199","1010",2014
"84","Wilkin County, Minnesota","6561","6519","2","18","16","6",2014
"85","Winona County, Minnesota","51285","49127","9","205","847","1097",2014
"86","Wright County, Minnesota","127386","123560","32","351","2146","1297",2014
"87","Yellow Medicine County, Minnesota","10233","10043","5","16","82","87",2014
"88","Aitkin County, Minnesota","16325","16056","6","85","111","67",2010
"89","Anoka County, Minnesota","327544","302964","302","1551","11358","11369",2010
"90","Becker County, Minnesota","32274","31736","25","105","301","107",2010
"91","Beltrami County, Minnesota","43781","42392","8","241","436","704",2010
"92","Benton County, Minnesota","38148","37442","24","86","352","244",2010
"93","Big Stone County, Minnesota","5324","5279","7","11","9","18",2010
"94","Blue Earth County, Minnesota","62719","59951","31","233","1078","1426",2010
"95","Brown County, Minnesota","26030","25501","0","110","180","239",2010
"96","Carlton County, Minnesota","34958","34186","5","140","379","248",2010
"97","Carver County, Minnesota","88668","83297","19","334","2496","2522",2010
"98","Cass County, Minnesota","28648","28222","0","124","176","126",2010
"99","Chippewa County, Minnesota","12426","12016","0","39","101","270",2010
"100","Chisago County, Minnesota","52844","51738","19","243","541","303",2010
"101","Clay County, Minnesota","57089","54935","20","242","877","1015",2010
"102","Clearwater County, Minnesota","8593","8398","0","54","62","79",2010
"103","Cook County, Minnesota","5211","5070","0","52","48","41",2010
"104","Cottonwood County, Minnesota","11712","11185","0","38","178","311",2010
"105","Crow Wing County, Minnesota","61836","60989","2","175","387","283",2010
"106","Dakota County, Minnesota","393380","359076","763","2583","15036","15922",2010
"107","Dodge County, Minnesota","19829","19303","0","56","176","294",2010
"108","Douglas County, Minnesota","35909","35398","0","129","156","226",2010
"109","Faribault County, Minnesota","14819","14558","2","45","68","146",2010
"110","Fillmore County, Minnesota","20978","20616","0","122","119","121",2010
"111","Freeborn County, Minnesota","31387","30330","0","82","353","622",2010
"112","Goodhue County, Minnesota","45930","44804","3","130","325","668",2010
"113","Grant County, Minnesota","6082","5962","0","21","55","44",2010
"114","Hennepin County, Minnesota","1136522","984409","1311","7619","56920","86263",2010
"115","Houston County, Minnesota","19226","18886","3","104","127","106",2010
"116","Hubbard County, Minnesota","20205","19875","5","80","177","68",2010
"117","Isanti County, Minnesota","37682","37067","4","101","248","262",2010
"118","Itasca County, Minnesota","44835","44136","0","227","270","202",2010
"119","Jackson County, Minnesota","10403","10095","8","21","142","137",2010
"120","Kanabec County, Minnesota","16379","16164","0","83","61","71",2010
"121","Kandiyohi County, Minnesota","41869","39814","5","89","599","1362",2010
"122","Kittson County, Minnesota","4620","4454","0","25","108","33",2010
"123","Koochiching County, Minnesota","13461","12661","53","177","327","243",2010
"124","Lac qui Parle County, Minnesota","7343","7238","0","12","31","62",2010
"125","Lake County, Minnesota","10900","10609","0","91","138","62",2010
"126","Lake of the Woods County, Minnesota","4147","3960","15","70","91","11",2010
"127","Le Sueur County, Minnesota","27719","26962","26","69","263","399",2010
"128","Lincoln County, Minnesota","5935","5816","10","15","35","59",2010
"129","Lyon County, Minnesota","25606","24269","0","84","391","862",2010
"130","McLeod County, Minnesota","36789","35626","0","114","509","540",2010
"131","Mahnomen County, Minnesota","5359","5293","0","15","28","23",2010
"132","Marshall County, Minnesota","9580","9336","0","37","95","112",2010
"133","Martin County, Minnesota","20865","20423","0","111","132","199",2010
"134","Meeker County, Minnesota","23371","22971","0","44","93","263",2010
"135","Mille Lacs County, Minnesota","26075","25652","15","46","219","143",2010
"136","Morrison County, Minnesota","33093","32700","7","47","163","176",2010
"137","Mower County, Minnesota","38855","36090","6","101","472","2186",2010
"138","Murray County, Minnesota","8779","8627","6","25","69","52",2010
"139","Nicollet County, Minnesota","32271","31194","26","110","506","435",2010
"140","Nobles County, Minnesota","21030","17620","106","145","910","2249",2010
"141","Norman County, Minnesota","6865","6730","7","39","51","38",2010
"142","Olmsted County, Minnesota","141244","126922","135","882","6368","6937",2010
"143","Otter Tail County, Minnesota","57539","55755","47","210","485","1042",2010
"144","Pennington County, Minnesota","13862","13544","26","35","181","76",2010
"145","Pine County, Minnesota","29413","28834","12","117","205","245",2010
"146","Pipestone County, Minnesota","9570","9243","0","24","112","191",2010
"147","Polk County, Minnesota","31336","30386","22","209","349","370",2010
"148","Pope County, Minnesota","11064","10938","22","40","57","7",2010
"149","Ramsey County, Minnesota","503113","434406","448","2710","28700","36849",2010
"150","Red Lake County, Minnesota","4094","4026","0","12","24","32",2010
"151","Redwood County, Minnesota","16069","15668","12","54","135","200",2010
"152","Renville County, Minnesota","16007","15535","18","28","153","273",2010
"153","Rice County, Minnesota","63087","58939","6","314","1271","2557",2010
"154","Rock County, Minnesota","9606","9454","15","25","53","59",2010
"155","Roseau County, Minnesota","15864","15417","0","97","205","145",2010
"156","St. Louis County, Minnesota","199472","194758","67","857","2167","1623",2010
"157","Scott County, Minnesota","126139","115106","48","589","5051","5345",2010
"158","Sherburne County, Minnesota","86823","84324","32","300","1016","1151",2010
"159","Sibley County, Minnesota","15219","14617","0","45","126","431",2010
"160","Stearns County, Minnesota","147927","141558","61","498","2204","3606",2010
"161","Steele County, Minnesota","36434","34954","0","174","681","625",2010
"162","Stevens County, Minnesota","9711","9357","0","30","72","252",2010
"163","Swift County, Minnesota","9946","9698","4","38","63","143",2010
"164","Todd County, Minnesota","24804","23824","0","141","199","640",2010
"165","Traverse County, Minnesota","3657","3577","0","0","35","45",2010
"166","Wabasha County, Minnesota","21743","21304","15","72","188","164",2010
"167","Wadena County, Minnesota","13809","13615","0","60","44","90",2010
"168","Waseca County, Minnesota","19168","18607","16","57","89","399",2010
"169","Washington County, Minnesota","232536","216901","192","1187","8226","6030",2010
"170","Watonwan County, Minnesota","11212","9812","0","60","156","1184",2010
"171","Wilkin County, Minnesota","6636","6577","2","19","22","16",2010
"172","Winona County, Minnesota","51304","49412","5","244","718","925",2010
"173","Wright County, Minnesota","120764","117120","62","347","1450","1785",2010
"174","Yellow Medicine County, Minnesota","10514","10352","0","19","48","95",2010
