"CTYNAME","WHITE","BLACK","INDIAN","ASIAN","HAWAIIAN","OTHERS","YEAR","POPULATION 18-24","HIGHSCHOOL DEGREE","BACHELOR'S DEGREE","POPULATION >25","HIGHSCHOOL DEGREE >25","BACHELOR'S DEGREE >25","GRADUATE DEGREE >25","POVERTY RATE >25","Percent Married","Percent Divorced","EMPLOYMENT ESTIMATE","INCOME/BENEFITS","Citizen: Total","Citizen: US Born","Citizen: Puerto Rico/US Islands Born","Citizen: Born Abroad","Citizen: Naturalization","Not Citizen","AGE1519","AGE2024","AGE2529","AGE18ABOVE","POPULATION"
"Goodhue County, Minnesota",43999,557,514,257,0,233,2014,3368,38.1,10,32228,32.8,16.7,6.8,22,55.8,11.5,36933,18743,46336,45097,4,131,409,695,6.8,5.1,5.4,76,46336
"Goodhue County, Minnesota",43999,557,514,257,0,233,2014,3368,38.1,10,32228,32.8,16.7,6.8,22,55.8,11.5,36933,18743,46336,45097,4,131,409,695,6.6,5.1,5.4,76.8,46336
"Grant County, Minnesota",5840,6,16,23,0,16,2014,388,25.3,9.3,4314,34.1,14.8,3.4,20.8,60.3,10.3,4928,2663,5977,5889,0,17,51,20,6.1,4.7,5.1,78.4,5977
"Grant County, Minnesota",5840,6,16,23,0,16,2014,388,25.3,9.3,4314,34.1,14.8,3.4,20.8,60.3,10.3,4928,2663,5977,5889,0,17,51,20,5.6,4.5,4.8,78.7,5977
"Grant County, Minnesota",5840,6,16,23,0,16,2014,388,25.3,9.3,4314,34.1,14.8,3.4,20.8,60.3,10.3,4850,2576,5977,5889,0,17,51,20,6.1,4.7,5.1,78.4,5977
"Grant County, Minnesota",5840,6,16,23,0,16,2014,388,25.3,9.3,4314,34.1,14.8,3.4,20.8,60.3,10.3,4850,2576,5977,5889,0,17,51,20,5.6,4.5,4.8,78.7,5977
"Hennepin County, Minnesota",886047,141240,8458,77744,484,27761,2014,110187,21.6,19,808209,18.2,30.2,16.1,33.1,46.8,10,905608,473856,1184091,1019021,960,9106,71113,83891,6.5,7.4,8.7,77.1,1184091
"Hennepin County, Minnesota",886047,141240,8458,77744,484,27761,2014,110187,21.6,19,808209,18.2,30.2,16.1,33.1,46.8,10,905608,473856,1184091,1019021,960,9106,71113,83891,6.1,6.8,8.8,77.6,1184091
"Hennepin County, Minnesota",886047,141240,8458,77744,484,27761,2014,110187,21.6,19,808209,18.2,30.2,16.1,33.1,46.8,10,946185,484868,1184091,1019021,960,9106,71113,83891,6.5,7.4,8.7,77.1,1184091
"Hennepin County, Minnesota",886047,141240,8458,77744,484,27761,2014,110187,21.6,19,808209,18.2,30.2,16.1,33.1,46.8,10,946185,484868,1184091,1019021,960,9106,71113,83891,6.1,6.8,8.8,77.6,1184091
"Houston County, Minnesota",18359,46,49,30,0,37,2014,1342,30,8.3,13381,34.8,15.3,6.7,23.7,57.9,8.3,15270,7770,18859,18567,17,72,117,86,7.1,4.6,5,76.1,18859
"Houston County, Minnesota",18359,46,49,30,0,37,2014,1342,30,8.3,13381,34.8,15.3,6.7,23.7,57.9,8.3,15270,7770,18859,18567,17,72,117,86,6.4,4.8,4.9,78.1,18859
"Houston County, Minnesota",18359,46,49,30,0,37,2014,1342,30,8.3,13381,34.8,15.3,6.7,23.7,57.9,8.3,15254,7862,18859,18567,17,72,117,86,7.1,4.6,5,76.1,18859
"Houston County, Minnesota",18359,46,49,30,0,37,2014,1342,30,8.3,13381,34.8,15.3,6.7,23.7,57.9,8.3,15254,7862,18859,18567,17,72,117,86,6.4,4.8,4.9,78.1,18859
"Hubbard County, Minnesota",19406,131,404,90,10,74,2014,1205,40.2,6.2,14931,31.6,16.7,7.6,23.1,62.2,10.7,16292,8616,20518,20159,3,81,153,122,6.3,4,4.4,77.8,20518
"Hubbard County, Minnesota",19406,131,404,90,10,74,2014,1205,40.2,6.2,14931,31.6,16.7,7.6,23.1,62.2,10.7,16292,8616,20518,20159,3,81,153,122,5.9,3.9,4.3,78.6,20518
"Hubbard County, Minnesota",19406,131,404,90,10,74,2014,1205,40.2,6.2,14931,31.6,16.7,7.6,23.1,62.2,10.7,16712,8740,20518,20159,3,81,153,122,6.3,4,4.4,77.8,20518
"Hubbard County, Minnesota",19406,131,404,90,10,74,2014,1205,40.2,6.2,14931,31.6,16.7,7.6,23.1,62.2,10.7,16712,8740,20518,20159,3,81,153,122,5.9,3.9,4.3,78.6,20518
"Isanti County, Minnesota",36720,235,199,279,6,73,2014,2940,42.2,4,25625,38.8,12.1,5,22.8,56.7,9.8,28752,13988,38190,37528,3,151,317,191,7,5.9,6.6,73.4,38190
"Isanti County, Minnesota",36720,235,199,279,6,73,2014,2940,42.2,4,25625,38.8,12.1,5,22.8,56.7,9.8,28752,13988,38190,37528,3,151,317,191,6.8,5.4,6.2,74.8,38190
"Isanti County, Minnesota",36720,235,199,279,6,73,2014,2940,42.2,4,25625,38.8,12.1,5,22.8,56.7,9.8,29667,13958,38190,37528,3,151,317,191,7,5.9,6.6,73.4,38190
"Isanti County, Minnesota",36720,235,199,279,6,73,2014,2940,42.2,4,25625,38.8,12.1,5,22.8,56.7,9.8,29667,13958,38190,37528,3,151,317,191,6.8,5.4,6.2,74.8,38190
"Itasca County, Minnesota",42195,188,1406,182,32,157,2014,3171,33.9,4,32410,33.7,14.5,7.2,17,57.6,11.3,36282,18998,45303,44658,26,191,265,163,6.6,4.8,4.9,78,45303
"Itasca County, Minnesota",42195,188,1406,182,32,157,2014,3171,33.9,4,32410,33.7,14.5,7.2,17,57.6,11.3,36282,18998,45303,44658,26,191,265,163,6.1,4.9,4.8,78.5,45303
"Itasca County, Minnesota",42195,188,1406,182,32,157,2014,3171,33.9,4,32410,33.7,14.5,7.2,17,57.6,11.3,36757,18821,45303,44658,26,191,265,163,6.6,4.8,4.9,78,45303
"Itasca County, Minnesota",42195,188,1406,182,32,157,2014,3171,33.9,4,32410,33.7,14.5,7.2,17,57.6,11.3,36757,18821,45303,44658,26,191,265,163,6.1,4.9,4.8,78.5,45303
"Jackson County, Minnesota",9809,14,18,236,2,117,2014,730,27,13.6,7228,35.2,14.1,4.5,20.1,62,7.6,8365,4531,10260,9997,10,44,81,128,6.9,4.8,4.7,77.3,10260
"Jackson County, Minnesota",9809,14,18,236,2,117,2014,730,27,13.6,7228,35.2,14.1,4.5,20.1,62,7.6,8365,4531,10260,9997,10,44,81,128,6.1,5,5.4,77.6,10260
"Jackson County, Minnesota",9809,14,18,236,2,117,2014,730,27,13.6,7228,35.2,14.1,4.5,20.1,62,7.6,8217,4442,10260,9997,10,44,81,128,6.9,4.8,4.7,77.3,10260
"Jackson County, Minnesota",9809,14,18,236,2,117,2014,730,27,13.6,7228,35.2,14.1,4.5,20.1,62,7.6,8217,4442,10260,9997,10,44,81,128,6.1,5,5.4,77.6,10260
"Kanabec County, Minnesota",15597,27,190,67,0,13,2014,1137,42.7,2.6,11303,39.9,8.4,5,17.8,55,11.6,12894,6439,16084,15925,0,36,64,59,6.9,4.8,5.1,75.8,16084
"Kanabec County, Minnesota",15597,27,190,67,0,13,2014,1137,42.7,2.6,11303,39.9,8.4,5,17.8,55,11.6,12894,6439,16084,15925,0,36,64,59,6.4,4.9,5.1,77.3,16084
"Kanabec County, Minnesota",15597,27,190,67,0,13,2014,1137,42.7,2.6,11303,39.9,8.4,5,17.8,55,11.6,12913,6256,16084,15925,0,36,64,59,6.9,4.8,5.1,75.8,16084
"Kanabec County, Minnesota",15597,27,190,67,0,13,2014,1137,42.7,2.6,11303,39.9,8.4,5,17.8,55,11.6,12913,6256,16084,15925,0,36,64,59,6.4,4.9,5.1,77.3,16084
"Kandiyohi County, Minnesota",38837,1239,213,193,0,1239,2014,3918,23.6,7.7,28351,29.6,14.9,7,22,57.7,8.3,33100,17069,42316,39732,8,126,948,1502,7.6,6.7,5.9,75.8,42316
"Kandiyohi County, Minnesota",38837,1239,213,193,0,1239,2014,3918,23.6,7.7,28351,29.6,14.9,7,22,57.7,8.3,33100,17069,42316,39732,8,126,948,1502,6.3,7,5.8,76.3,42316
"Kandiyohi County, Minnesota",38837,1239,213,193,0,1239,2014,3918,23.6,7.7,28351,29.6,14.9,7,22,57.7,8.3,33501,16885,42316,39732,8,126,948,1502,7.6,6.7,5.9,75.8,42316
"Kandiyohi County, Minnesota",38837,1239,213,193,0,1239,2014,3918,23.6,7.7,28351,29.6,14.9,7,22,57.7,8.3,33501,16885,42316,39732,8,126,948,1502,6.3,7,5.8,76.3,42316
"Kittson County, Minnesota",4423,20,6,20,0,3,2014,274,25.9,8.8,3234,34.4,17,4.2,21.9,54.7,9.6,3750,1954,4501,4401,0,15,70,15,6.4,4.1,3.8,78.8,4501
"Kittson County, Minnesota",4423,20,6,20,0,3,2014,274,25.9,8.8,3234,34.4,17,4.2,21.9,54.7,9.6,3750,1954,4501,4401,0,15,70,15,6.3,4.2,3.6,77.9,4501
"Kittson County, Minnesota",4423,20,6,20,0,3,2014,274,25.9,8.8,3234,34.4,17,4.2,21.9,54.7,9.6,3617,1917,4501,4401,0,15,70,15,6.4,4.1,3.8,78.8,4501
"Kittson County, Minnesota",4423,20,6,20,0,3,2014,274,25.9,8.8,3234,34.4,17,4.2,21.9,54.7,9.6,3617,1917,4501,4401,0,15,70,15,6.3,4.2,3.6,77.9,4501
"Koochiching County, Minnesota",12332,97,427,63,0,1,2014,854,34.9,3.5,9639,36.6,13.8,4.6,30.9,55.1,11,10889,6246,13138,12240,0,253,339,306,6.1,4.4,4.9,78.6,13138
"Koochiching County, Minnesota",12332,97,427,63,0,1,2014,854,34.9,3.5,9639,36.6,13.8,4.6,30.9,55.1,11,10889,6246,13138,12240,0,253,339,306,6.1,4.3,4.7,79.9,13138
"Koochiching County, Minnesota",12332,97,427,63,0,1,2014,854,34.9,3.5,9639,36.6,13.8,4.6,30.9,55.1,11,10852,6006,13138,12240,0,253,339,306,6.1,4.4,4.9,78.6,13138
"Koochiching County, Minnesota",12332,97,427,63,0,1,2014,854,34.9,3.5,9639,36.6,13.8,4.6,30.9,55.1,11,10852,6006,13138,12240,0,253,339,306,6.1,4.3,4.7,79.9,13138
"Lac qui Parle County, Minnesota",6885,34,26,62,0,9,2014,397,37.3,3.3,5213,38.9,14.6,4,19.3,61.5,8.8,6015,3137,7096,6942,0,13,87,54,6.3,3.8,4.1,79,7096
"Lac qui Parle County, Minnesota",6885,34,26,62,0,9,2014,397,37.3,3.3,5213,38.9,14.6,4,19.3,61.5,8.8,6015,3137,7096,6942,0,13,87,54,6,3.6,4.2,79.1,7096
"Lac qui Parle County, Minnesota",6885,34,26,62,0,9,2014,397,37.3,3.3,5213,38.9,14.6,4,19.3,61.5,8.8,5835,3094,7096,6942,0,13,87,54,6.3,3.8,4.1,79,7096
"Lac qui Parle County, Minnesota",6885,34,26,62,0,9,2014,397,37.3,3.3,5213,38.9,14.6,4,19.3,61.5,8.8,5835,3094,7096,6942,0,13,87,54,6,3.6,4.2,79.1,7096
"Lake County, Minnesota",10478,11,30,0,0,46,2014,642,41,9,8152,35.8,14.5,8.7,17.2,61.8,11.5,9143,5181,10791,10564,0,42,89,96,5.5,4.4,4.5,81.3,10791
"Lake County, Minnesota",10478,11,30,0,0,46,2014,642,41,9,8152,35.8,14.5,8.7,17.2,61.8,11.5,9143,5181,10791,10564,0,42,89,96,4.9,4.2,5.2,81.5,10791
"Lake County, Minnesota",10478,11,30,0,0,46,2014,642,41,9,8152,35.8,14.5,8.7,17.2,61.8,11.5,9062,5010,10791,10564,0,42,89,96,5.5,4.4,4.5,81.3,10791
"Lake County, Minnesota",10478,11,30,0,0,46,2014,642,41,9,8152,35.8,14.5,8.7,17.2,61.8,11.5,9062,5010,10791,10564,0,42,89,96,4.9,4.2,5.2,81.5,10791
"Lake of the Woods County, Minnesota",3767,35,15,27,0,0,2014,286,44.1,6.6,2908,43.4,12.9,3.3,6.7,57.8,10.2,3397,1784,3976,3832,0,55,45,44,6.7,3.1,4.2,78.7,3976
"Lake of the Woods County, Minnesota",3767,35,15,27,0,0,2014,286,44.1,6.6,2908,43.4,12.9,3.3,6.7,57.8,10.2,3397,1784,3976,3832,0,55,45,44,6.6,4.1,2.5,80.3,3976
"Lake of the Woods County, Minnesota",3767,35,15,27,0,0,2014,286,44.1,6.6,2908,43.4,12.9,3.3,6.7,57.8,10.2,3320,1700,3976,3832,0,55,45,44,6.7,3.1,4.2,78.7,3976
"Lake of the Woods County, Minnesota",3767,35,15,27,0,0,2014,286,44.1,6.6,2908,43.4,12.9,3.3,6.7,57.8,10.2,3320,1700,3976,3832,0,55,45,44,6.6,4.1,2.5,80.3,3976
"Le Sueur County, Minnesota",26493,162,106,145,0,478,2014,1982,37.2,9,18876,34.6,15.6,6.1,18.8,59.3,8.6,21406,10758,27717,26941,5,95,227,449,6.7,4.9,6,74.4,27717
"Le Sueur County, Minnesota",26493,162,106,145,0,478,2014,1982,37.2,9,18876,34.6,15.6,6.1,18.8,59.3,8.6,21406,10758,27717,26941,5,95,227,449,6.3,5,5.5,75.3,27717
"Le Sueur County, Minnesota",26493,162,106,145,0,478,2014,1982,37.2,9,18876,34.6,15.6,6.1,18.8,59.3,8.6,21626,11007,27717,26941,5,95,227,449,6.7,4.9,6,74.4,27717
"Le Sueur County, Minnesota",26493,162,106,145,0,478,2014,1982,37.2,9,18876,34.6,15.6,6.1,18.8,59.3,8.6,21626,11007,27717,26941,5,95,227,449,6.3,5,5.5,75.3,27717
"Lincoln County, Minnesota",5676,28,8,12,0,71,2014,355,34.1,13.5,4180,41,16.1,3.5,27.5,58.8,7.7,4781,2587,5821,5755,6,6,36,18,5.8,4.2,4.7,77.9,5821
"Lincoln County, Minnesota",5676,28,8,12,0,71,2014,355,34.1,13.5,4180,41,16.1,3.5,27.5,58.8,7.7,4781,2587,5821,5755,6,6,36,18,5.5,4.2,4.5,77.9,5821
"Lincoln County, Minnesota",5676,28,8,12,0,71,2014,355,34.1,13.5,4180,41,16.1,3.5,27.5,58.8,7.7,4682,2469,5821,5755,6,6,36,18,5.8,4.2,4.7,77.9,5821
"Lincoln County, Minnesota",5676,28,8,12,0,71,2014,355,34.1,13.5,4180,41,16.1,3.5,27.5,58.8,7.7,4682,2469,5821,5755,6,6,36,18,5.5,4.2,4.5,77.9,5821
"Lyon County, Minnesota",23169,692,138,813,0,756,2014,3227,28.2,8.1,16227,34.7,19.8,7.4,24.8,50.8,7.7,20126,10263,25724,24252,0,39,394,1039,8.3,9.4,7,75.8,25724
"Lyon County, Minnesota",23169,692,138,813,0,756,2014,3227,28.2,8.1,16227,34.7,19.8,7.4,24.8,50.8,7.7,20126,10263,25724,24252,0,39,394,1039,7.6,8.9,6.8,75.6,25724
"Lyon County, Minnesota",23169,692,138,813,0,756,2014,3227,28.2,8.1,16227,34.7,19.8,7.4,24.8,50.8,7.7,20064,10076,25724,24252,0,39,394,1039,8.3,9.4,7,75.8,25724
"Lyon County, Minnesota",23169,692,138,813,0,756,2014,3227,28.2,8.1,16227,34.7,19.8,7.4,24.8,50.8,7.7,20064,10076,25724,24252,0,39,394,1039,7.6,8.9,6.8,75.6,25724
"McLeod County, Minnesota",34583,242,51,232,0,568,2014,2692,32.7,10.4,24615,36.3,13.5,5.4,15.4,58.4,8.4,28354,14510,36172,34778,1,161,484,748,6.6,5.4,6,74.3,36172
"McLeod County, Minnesota",34583,242,51,232,0,568,2014,2692,32.7,10.4,24615,36.3,13.5,5.4,15.4,58.4,8.4,28354,14510,36172,34778,1,161,484,748,6.3,5.3,5.8,75.5,36172
"McLeod County, Minnesota",34583,242,51,232,0,568,2014,2692,32.7,10.4,24615,36.3,13.5,5.4,15.4,58.4,8.4,28317,14727,36172,34778,1,161,484,748,6.6,5.4,6,74.3,36172
"McLeod County, Minnesota",34583,242,51,232,0,568,2014,2692,32.7,10.4,24615,36.3,13.5,5.4,15.4,58.4,8.4,28317,14727,36172,34778,1,161,484,748,6.3,5.3,5.8,75.5,36172
"Mahnomen County, Minnesota",2691,33,2254,23,4,40,2014,425,39.8,3.3,3398,37.4,10.1,2.9,45.7,46.6,10.7,3986,1994,5486,5452,1,5,18,10,7.3,5.7,5.7,70.8,5486
"Mahnomen County, Minnesota",2691,33,2254,23,4,40,2014,425,39.8,3.3,3398,37.4,10.1,2.9,45.7,46.6,10.7,3986,1994,5486,5452,1,5,18,10,6,6,5,69.7,5486
"Mahnomen County, Minnesota",2691,33,2254,23,4,40,2014,425,39.8,3.3,3398,37.4,10.1,2.9,45.7,46.6,10.7,3969,2018,5486,5452,1,5,18,10,7.3,5.7,5.7,70.8,5486
"Mahnomen County, Minnesota",2691,33,2254,23,4,40,2014,425,39.8,3.3,3398,37.4,10.1,2.9,45.7,46.6,10.7,3969,2018,5486,5452,1,5,18,10,6,6,5,69.7,5486
"Marshall County, Minnesota",9223,32,43,15,0,35,2014,618,31.9,4.5,6649,38.7,14.3,3.6,16.7,60.6,9.3,7648,4141,9447,9266,2,30,56,93,6.8,4.1,4.9,76.7,9447
"Marshall County, Minnesota",9223,32,43,15,0,35,2014,618,31.9,4.5,6649,38.7,14.3,3.6,16.7,60.6,9.3,7648,4141,9447,9266,2,30,56,93,6.2,4.4,5.2,76.9,9447
"Marshall County, Minnesota",9223,32,43,15,0,35,2014,618,31.9,4.5,6649,38.7,14.3,3.6,16.7,60.6,9.3,7521,4072,9447,9266,2,30,56,93,6.8,4.1,4.9,76.7,9447
"Marshall County, Minnesota",9223,32,43,15,0,35,2014,618,31.9,4.5,6649,38.7,14.3,3.6,16.7,60.6,9.3,7521,4072,9447,9266,2,30,56,93,6.2,4.4,5.2,76.9,9447
"Martin County, Minnesota",20038,75,36,106,0,36,2014,1384,27,5.4,14666,38,14,4,19.6,56.1,9.9,16673,8982,20515,20044,0,49,108,314,6.3,4.6,4.6,77.1,20515
"Martin County, Minnesota",20038,75,36,106,0,36,2014,1384,27,5.4,14666,38,14,4,19.6,56.1,9.9,16673,8982,20515,20044,0,49,108,314,6,4.5,5,78.2,20515
"Martin County, Minnesota",20038,75,36,106,0,36,2014,1384,27,5.4,14666,38,14,4,19.6,56.1,9.9,16570,8780,20515,20044,0,49,108,314,6.3,4.6,4.6,77.1,20515
"Martin County, Minnesota",20038,75,36,106,0,36,2014,1384,27,5.4,14666,38,14,4,19.6,56.1,9.9,16570,8780,20515,20044,0,49,108,314,6,4.5,5,78.2,20515
"Meeker County, Minnesota",22554,101,75,86,9,84,2014,1592,36.9,4.5,15801,39,13.3,4.7,21.8,62,8.9,18039,9394,23147,22555,1,47,147,397,6.6,5,5.2,74.5,23147
"Meeker County, Minnesota",22554,101,75,86,9,84,2014,1592,36.9,4.5,15801,39,13.3,4.7,21.8,62,8.9,18039,9394,23147,22555,1,47,147,397,6.4,4.7,5.2,75.1,23147
"Meeker County, Minnesota",22554,101,75,86,9,84,2014,1592,36.9,4.5,15801,39,13.3,4.7,21.8,62,8.9,18089,9279,23147,22555,1,47,147,397,6.6,5,5.2,74.5,23147
"Meeker County, Minnesota",22554,101,75,86,9,84,2014,1592,36.9,4.5,15801,39,13.3,4.7,21.8,62,8.9,18089,9279,23147,22555,1,47,147,397,6.4,4.7,5.2,75.1,23147
"Mille Lacs County, Minnesota",23601,169,1399,115,0,75,2014,1871,35.6,8.9,17606,36.5,11.1,4.3,24.3,52.4,12.8,20164,10538,25891,25453,2,160,208,68,7.2,5,6.3,74.2,25891
"Mille Lacs County, Minnesota",23601,169,1399,115,0,75,2014,1871,35.6,8.9,17606,36.5,11.1,4.3,24.3,52.4,12.8,20164,10538,25891,25453,2,160,208,68,6.4,5.1,5.8,75.2,25891
"Mille Lacs County, Minnesota",23601,169,1399,115,0,75,2014,1871,35.6,8.9,17606,36.5,11.1,4.3,24.3,52.4,12.8,20094,10249,25891,25453,2,160,208,68,7.2,5,6.3,74.2,25891
"Mille Lacs County, Minnesota",23601,169,1399,115,0,75,2014,1871,35.6,8.9,17606,36.5,11.1,4.3,24.3,52.4,12.8,20094,10249,25891,25453,2,160,208,68,6.4,5.1,5.8,75.2,25891
"Morrison County, Minnesota",32167,123,59,161,0,100,2014,2435,37.5,4.4,22675,39.1,11.4,5,24,57.1,9.5,25879,13496,33054,32664,3,71,151,165,7,5.4,6,75.1,33054
"Morrison County, Minnesota",32167,123,59,161,0,100,2014,2435,37.5,4.4,22675,39.1,11.4,5,24,57.1,9.5,25879,13496,33054,32664,3,71,151,165,6.5,5.1,5.5,76,33054
"Morrison County, Minnesota",32167,123,59,161,0,100,2014,2435,37.5,4.4,22675,39.1,11.4,5,24,57.1,9.5,26034,13494,33054,32664,3,71,151,165,7,5.4,6,75.1,33054
"Morrison County, Minnesota",32167,123,59,161,0,100,2014,2435,37.5,4.4,22675,39.1,11.4,5,24,57.1,9.5,26034,13494,33054,32664,3,71,151,165,6.5,5.1,5.5,76,33054
"Mower County, Minnesota",36293,986,64,749,44,462,2014,3345,26,3.6,26085,32.9,13.2,4.7,36.6,53.3,10.5,30113,16018,39312,36307,13,190,950,1852,6.7,5.9,5.8,75,39312
"Mower County, Minnesota",36293,986,64,749,44,462,2014,3345,26,3.6,26085,32.9,13.2,4.7,36.6,53.3,10.5,30113,16018,39312,36307,13,190,950,1852,6.7,6,5.4,74.9,39312
"Mower County, Minnesota",36293,986,64,749,44,462,2014,3345,26,3.6,26085,32.9,13.2,4.7,36.6,53.3,10.5,30605,15511,39312,36307,13,190,950,1852,6.7,5.9,5.8,75,39312
"Mower County, Minnesota",36293,986,64,749,44,462,2014,3345,26,3.6,26085,32.9,13.2,4.7,36.6,53.3,10.5,30605,15511,39312,36307,13,190,950,1852,6.7,6,5.4,74.9,39312
"Murray County, Minnesota",8327,28,15,49,32,37,2014,531,33,7,6207,37.8,12.6,4.6,21.6,61.7,9.3,7121,3831,8586,8359,8,25,52,142,6.1,3.9,3.9,78.2,8586
"Murray County, Minnesota",8327,28,15,49,32,37,2014,531,33,7,6207,37.8,12.6,4.6,21.6,61.7,9.3,7121,3831,8586,8359,8,25,52,142,6.2,3.9,4.4,78.5,8586
"Murray County, Minnesota",8327,28,15,49,32,37,2014,531,33,7,6207,37.8,12.6,4.6,21.6,61.7,9.3,6992,3768,8586,8359,8,25,52,142,6.1,3.9,3.9,78.2,8586
"Murray County, Minnesota",8327,28,15,49,32,37,2014,531,33,7,6207,37.8,12.6,4.6,21.6,61.7,9.3,6992,3768,8586,8359,8,25,52,142,6.2,3.9,4.4,78.5,8586
